Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Israel,Middle East and North Africa,7.157,10.575,0.939,73.503,0.8,0.031,0.753,8655541,9053300,38.41469955,30.60000038,0,2.250278234,8.969634056,0,0,0.261997372,34.4,44425,44397,45794,49469,51.91757202
Germany,Western Europe,7.155,10.873,0.903,72.5,0.875,0.011,0.46,83783945,83132799,40.33110046,46.59999847,0,4.837829113,9.017697334,0,1,0.435435176,31.1,929351,952295,936772,1000855,73.54841614
Canada,North America and ANZ,7.103,10.776,0.926,73.8,0.915,0.089,0.415,37742157,37589262,41.41790009,41.40000153,0,2.296168089,9.267811775,0,0,0.481616169,35.25,,,,,
Ireland,Western Europe,7.085,11.342,0.947,72.4,0.879,0.077,0.363,4937796,4941444,45.30360031,38.70000076,1,3.188102245,9.100494385,0,0,0.43062529,30.6,,30621,30728,32271,32.32030106
Costa Rica,Latin America and Caribbean,7.069,9.88,0.891,71.4,0.934,-0.126,0.809,5094114,5047561,42.89260101,33.59999847,0,0.863974214,9.549308777,0,0,0.212505639,48.6,,,,,
United Kingdom,Western Europe,7.064,10.707,0.934,72.5,0.859,0.233,0.459,67886004,66834405,108.449501,40.79999924,1,5.009472847,9.087469101,0,0,0.267582208,34.07,606874,613309,600532,696705,133.3131409
Czech Republic,Central and Eastern Europe,6.965,10.556,0.947,70.807,0.858,-0.208,0.868,10708982,10669709,108.1334991,43.29999924,0,4.816853523,9.024582863,0,0,0.290031821,24,111007,112604,112040,131440,182.9516754
United States,North America and ANZ,6.951,11.023,0.92,68.2,0.837,0.098,0.698,331002647,328239523,104.4514008,38.29999924,0,1.687503219,9.31489563,0,0,0.250042766,47.51,2810927,2839076,2852747,3424996,179.2197266
Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,11589616,11484055,168.495697,41.79999924,0,6.343307972,9.07117939,0,0,0.302761972,25.6,109278,110341,108436,128952,169.8935242
France,Western Europe,6.69,10.704,0.942,74,0.822,-0.147,0.571,65273512,67059887,99.21179962,42,0,5.030899048,9.092100143,0,0,0.234134093,29.3,604105,607786,611291,678259,106.5969543
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,1701583,1641172,20.68659973,32.40000153,1,1.666595936,8.852240562,0,0,0.486931205,59.6,,,,,
Malta,Western Europe,6.602,10.674,0.931,72.2,0.927,0.133,0.653,441539,502653,49.5992012,42.40000153,1,2.822388649,9.096670151,0,0,0.402807593,28.7,3556,3672,3684,4093,96.51993561
Taiwan Province of China,East Asia,6.584,10.871,0.898,69.6,0.784,-0.07,0.721,23816775,23780000,0.0294,42.20000076,0,0.888295412,8.087669373,1,1,0.157968476,29.46666667,171242,172784,176296,173156,-1.196181417
United Arab Emirates,Middle East and North Africa,6.561,11.085,0.844,67.333,0.932,0.074,0.589,9890400,9770529,6.764100075,34,0,1.198980331,8.821386337,0,0,0.69400847,38.3,,,,,
Saudi Arabia,Middle East and North Africa,6.494,10.743,0.891,66.603,0.877,-0.149,0.684,34813867,34268528,17.87510109,31.89999962,0,1.250482678,8.896798134,0,0,0.650618911,45.9,,,,,
Spain,Western Europe,6.491,10.571,0.932,74.7,0.761,-0.081,0.745,46754783,47076781,108.731102,45.5,0,4.331624508,9.171877861,0,0,0.143273652,33.2,420589,423994,414914,501106,173.233078
Italy,Western Europe,6.483,10.623,0.88,73.8,0.693,-0.084,0.866,60461828,60297396,122.6541977,47.90000153,0,5.500850677,9.077784538,0,0,0.075540423,33.4,656891,638884,642964,756317,182.2977753
Slovenia,Central and Eastern Europe,6.461,10.529,0.948,71.4,0.949,-0.101,0.806,2078932,2087946,129.7301025,44.5,0,4.307637691,9.044583321,0,0,0.176667586,23.4,20436,20428,20547,24277,182.7107086
Guatemala,Latin America and Caribbean,6.435,9.053,0.813,64.958,0.906,-0.038,0.775,17915567,16604026,26.86489868,22.89999962,0,0.863593817,9.497051239,0,0,0.286055684,44.488,,,,,
Uruguay,Latin America and Caribbean,6.431,9.966,0.925,69.1,0.896,-0.092,0.59,3473727,3461734,5.210499763,35.59999847,0,0.572468579,9.711483002,0,0,0.247440577,39.25,,,,,
Singapore,Southeast Asia,6.377,11.488,0.915,76.953,0.927,-0.018,0.082,5850343,5703569,0.495699972,42.40000153,1,1.260240436,8.425979614,1,1,0.868589222,45.2,20905,21282,21446,22000,13.65771198
Kosovo,Central and Eastern Europe,6.372,9.318,0.821,63.813,0.869,0.257,0.917,1932774,1794248,68.91649628,35,0,3.13441062,9.014948845,0,1,0.169447765,29.01,8738,8866,9552,11108,110.3293762
Slovakia,Central and Eastern Europe,6.331,10.369,0.936,69.201,0.766,-0.124,0.911,5459643,5454073,39.16010284,41.20000076,0,4.655187607,9.018951416,0,1,0.195351511,23.2,53702,54137,53115,60277,121.4191055
Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,212559409,211049527,91.71510315,33.5,0,0.656791925,9.665659904,0,0,0.114774801,54,1312663,1316719,1349802,1571383,115.6672363
Mexico,Latin America and Caribbean,6.317,9.859,0.831,68.597,0.862,-0.147,0.799,128932753,127575529,97.57569885,29.29999924,0,0.847846329,9.433811188,0,0,0.128877178,47.5,701160,718206,728889,1045794,257.0747375
